求职网站,公司名称,岗位名,需求数量,职责,能力要求,薪资待遇
国聘,中国联合网络通信有限公司广东省分公司,人工智能工程师,1000-2000人,"【岗位职责】
1、负责本地视觉大模型算法和产品的研发；
2、负责数据收集与模型训练；
3、负责根据结合生产实际落地AI产品的软件和硬件。
【","】
1、学历要求：
本科及以上学历，并具有相应学位；
2、专业要求：
人工智能、软件工程、信息管理与及相关专业；
3、素质要求：具有较强进取心、开拓意识，良好的沟通能力和较强的团队协作意识；",面议
国聘,中国东方电气集团有限公司,人工智能专家,10000-30000人,"1、模型架构设计：根据业务需求，设计或改进生成模型的架构。
2、模型训练与调优：负责大模型的预训练、有监督微调（SFT），并运用人类反馈强化学习（RLHF） 等前沿技术提升模型效果和可控性。
3、前沿技术探索：持续跟进如多模态大模型、智能体（Agent）、文生3D等领域的最新论文，将可行技术引入现有业务。
系统开发与工程落地
4、开发包含数据清洗、Prompt工程、检索增强生成（RAG） 等环节的完整算法链路。
5、对模型进行量化、剪枝、蒸馏等优化，降低成本并提升推理速度。
6、将模型封装为API服务，并解决高并发下的稳定性、延迟等问题。
7、与产品、业务团队深入沟通，将模糊的“智能”需求转化为明确的、可量化的技术问题与评估指标。
8、编写技术文档、申请专利，并在团队内分享经验，推动整体技术进步。
9、主导A/B测试，分析模型在实际用户数据中的表现，并持续迭代优化。","1.计算机、人工智能、应用数学、统计学等相关专业，博士学历或硕士学历并具备高级职称的专业技术人才。
2.掌握机器学习、深度学习基础知识，并Transformer架构有深刻理解；
3.核心技术栈：需熟悉生成式AI的核心技术，如大语言模型（LLM）、扩散模型（Diffusion）、生成对抗网络（GAN） 等
4.全流程技能：除了模型本身，还需掌握Prompt工程、模型微调（SFT）、检索增强生成（RAG）、智能体（Agent）框架等使大模型“好用”的关键技术
5.熟练掌握Python，精通 PyTorch 或 TensorFlow 等深度学习框架
6.具备将算法原型进行封装、优化、部署的工程能力，有产品落地经验
7.具备快速学习和跟踪AI领域最新技术成果的能力
8.良好的团队合作与沟通能力，能够与产品、工程团队协作推动项目落地
9.拥有强大的逻辑思维、自驱力和独立解决问题的能力",面议
国聘,中国联合网络通信有限公司广东省分公司,人工智能工程师,1000-2000人,"【岗位职责】
1、负责本地视觉大模型算法和产品的研发；
2、负责数据收集与模型训练；
3、负责根据结合生产实际落地AI产品的软件和硬件。
【","】
1、学历要求：
本科及以上学历，并具有相应学位；
2、专业要求：
人工智能、软件工程、信息管理与及相关专业；
3、素质要求：具有较强进取心、开拓意识，良好的沟通能力和较强的团队协作意识；",面议
国聘,中国联合网络通信有限公司广东省分公司,人工智能业务岗,1000-2000人,"【岗位职责】
1、负责人工智能业务销售组织推进，涉及协同商务客户拜访、需求确认、方案编制、投标文件技术部分以及不同形式的技术支持、效益评估、项目实施、达产等售前及售中支撑。
2、负责人工智能业务的流程制定及支撑； 
3、负责全市售前人工智能业务能力建设工作，建立健全全市案例库，对全市售前业务培训；
4、负责人工智能业务的技术支持、项目实施、客户交付等售前及售中支撑；
5、负责人工智能业务的售后服务支撑、投诉处理。
【","】
1、学历：本科学历。
2、专业：人工智能、计算机科学、电子信息等相关专业优先。
3、其他要求：具有积极的工作态度、强烈的责任心、极高的技术追求，以及优秀的逻辑思维能力、良好的沟通能力。",面议
国聘,中国联合网络通信有限公司广东省分公司,人工智能产品经理,1000-2000人,"【岗位职责】
1、深入研究人工智能与制造业的融合趋势，包括智能终端、园区集群、高端装备、智慧能源、集成电路与半导体行业、中小企业等工业重点行业/领域。
2、推动产品创新与迭代优化（包括功能升级、用户体验提升、业务流程简化等），确保产品与行业需求同频。
3、深度对接场景需求，挖掘业务痛点并转化为可执行的产品解决方案，协同研发、设计、售前、销售等跨团队，推动产品场景化应用，定期复盘产品ROI，确保产品价值有效传递给客户。
4、具备数据驱动思维，分析产品运营数据及用户调研结果，基于数据持续优化产品功能、用户体验等，提升产品满意度与留存率。
5、完成公司交办的其它任务。
【","】
1、学历：硕士研究生及以上学历
2、专业：计算机、通信、人工智能、电子信息等相关专业优先
3、技能要求：
（1）具备良好的数据分析能力和逻辑思维能力，熟悉大数据、云计算、人工智能等数字化技术，了解其应用场景，熟练使用SQL、Excel、BI（如Tableau）等工具。
（2）具备较强的沟通协调能力和资源整合能力，熟悉人工智能技术的最新发展趋势，能够洞察行业需求和业务痛点。 
（3）具备人工智能、数字化产品规划、需求分析与原型设计，能独立撰写PRD、需求规格说明书、技术方案等标准化文档。
（4）具备良好的项目管理能力和团队协作能力，能够高效推进项目进展，进行有效合作。责任心强，能承受工作压力，具有敏锐的政策洞察力和判断力。",面议
国聘,中国联合网络通信有限公司广东省分公司,人工智能产品经理,1000-2000人,"【岗位职责】
1、深入研究人工智能与制造业的融合趋势，包括智能终端、园区集群、高端装备、智慧能源、集成电路与半导体行业、中小企业等工业重点行业/领域。
2、推动产品创新与迭代优化（包括功能升级、用户体验提升、业务流程简化等），确保产品与行业需求同频。
3、深度对接场景需求，挖掘业务痛点并转化为可执行的产品解决方案，协同研发、设计、售前、销售等跨团队，推动产品场景化应用，定期复盘产品ROI，确保产品价值有效传递给客户。
4、具备数据驱动思维，分析产品运营数据及用户调研结果，基于数据持续优化产品功能、用户体验等，提升产品满意度与留存率。
5、完成公司交办的其它任务。
【","】
1、学历：硕士研究生及以上学历
2、专业：计算机、通信、人工智能、电子信息等相关专业优先
3、技能要求：
（1）具备良好的数据分析能力和逻辑思维能力，熟悉大数据、云计算、人工智能等数字化技术，了解其应用场景，熟练使用SQL、Excel、BI（如Tableau）等工具。
（2）具备较强的沟通协调能力和资源整合能力，熟悉人工智能技术的最新发展趋势，能够洞察行业需求和业务痛点。 
（3）具备人工智能、数字化产品规划、需求分析与原型设计，能独立撰写PRD、需求规格说明书、技术方案等标准化文档。
（4）具备良好的项目管理能力和团队协作能力，能够高效推进项目进展，进行有效合作。责任心强，能承受工作压力，具有敏锐的政策洞察力和判断力。",面议
国聘,中国联合网络通信有限公司广东省分公司,人工智能解决方案经理,1000-2000人,"【岗位职责】
1、研究人工智能、云计算、大数据、物联网、网信安全、工业互联网等算网数智业务的发展趋势、政策导向及行业动态，持续跟踪行业新技术与新应用。
2、负责收集与分析行业内相关算网数智系统解决方案，与销售团队紧密合作，为客户进行方案宣讲、技术交流与业务方案演示等相关工作。
3、精准分析客户需求，为客户制定定制化算网数智系统解决方案。负责组织应标技术文件的编制，商务谈判与项目实施的技术支持与支撑等工作。
【","】
1、本科及以上学历，应届大学毕业生。
2、计算机科学与技术、软件工程、云计算、物联网、大数据、人工智能、网络信息安全、信息工程、自动化、工业互联网等相关专业。
3、具有良好的学习能力，良好的口头与书面沟通表达能力，良好的逻辑思维、分析问题与解决问题能力。",面议
国聘,中国能源建设集团甘肃省电力设计院有限公司,数字化、人工智能类,300-500人,"]
1、负责公司网络系统、软件系统、数据库系统、网络设备运行维护；
2、负责公司产业数字化和数字产业化的创新研究；
3、负责公司信息系统开发和建设，并且进行系统维护和升级工作；
4、负责与业务部门合作，开发定制化AI解决方案，实现AI技术在公司各业务部门的应用和推广。
[任职条件]
1、硕士研究生及以上学历，计算机技术及应用、软件工程、人工智能、大数据等相关专业；
2、年龄：硕士不超过28周岁，博士不超过32周岁，年龄计算的截止时间为2026年7月31日；
3、熟悉Mysql等关系型数据库、Java等面向对象开发技术；熟练掌握Python、有过Pytorch、Tensorflow等深度学习框架开发经验优先；
4、具有较强的团队意识，责任意识，工作严谨，勤奋。",,8000-15000元/月
国聘,联通支付有限公司,人工智能工程师,500-1000人,"【岗位职责】
1、负责追踪与研究AI领域前沿技术，重点关注大模型技术（如DeepSeek、Qwen、GPT、BERT等）的发展与应用；
2、负责调研公司业务流程及痛点，识别AI技术应用机会，设计并推动落地实施方案；
3、负责机器学习/深度学习模型的开发、训练、评估及初步优化工作；
4、基于对算法原理的深入理解，设计数据解决方案，遴选并应用合适算法解决实际问题，持续优化模型性能及线上服务稳定性。
【","】
1、硕士及以上学历，计算机类、电子信息类、自动化类、数学类等相关专业；
2、熟练使用Python语言、熟练掌握LR、XGBoost、GBDT、神经网络等算法，了解常用机器学习/深度学习框架，如:TensorFlow、Pytorch、Caffe等；有大模型相关实践经验者优先；
3、具备良好的逻辑思维能力、问题分析和团队合作能力，有探索精神；
4、有人工智能相关实习经验者优先。",面议
国聘,中煤科工集团北京华宇工程有限公司,人工智能岗,1000-2000人,"1.负责基于强化学习的决策算法研究并结合项目完成应用。
2.负责强化学习训练框架的设计与研发。
3.负责人工智能相关技术交流、对外合作沟通和技术引进，跟踪学术界最新研究进展及业内最新应用。
4.完成安排的其他任务。","1.硕士及以上学历，计算机，机器学习，统计学，应用数学等相关专业。
2.有较强的强化学习理论基础，熟练掌握至少一项主流机器学习算法。
3.数学基础扎实，具有较强的学习和研究能力。
4.精通C++/C#/Python语言，有项目工程经验。
5.熟悉pytorch，tensorflow等至少一种机器学习框架。
6.具备一定的文案能力，能清晰明了地表达技术方案，熟练完成技术文件及PPT编写；
7.具备良好的团队协作能力和抗压能力，责任心强，学习能力强，有一定的承压能力。",面议
国聘,国家电投集团科学技术研究院有限公司,人工智能技术研究所五级工程师,1000-2000人,"开展能源电力战略及产业发展中AI赋能相关场景应用研究，具体包括：
1、开展知识库构建研究工作。分析业务知识特征，构建相关知识库，如产业政策知识库、项目风险知识库；
2、开展大、小模型技术应用研究工作。结合业务需求，挖掘AI技术赋能点，开展模型技术验证与实施；
3、开展智能体搭建工作。根据业务流程，实现智能体的搭建、测试、部署、优化；
4、参与相关课题的研究实施工作；
5、完成上级安排的其他工作。",,26000-28000元/月
国聘,中国联合网络通信有限公司江西省分公司,人工智能专岗,500-1000人,"【岗位职责】
1、负责人工智能方向创新业务全流程支撑；
2、参与制定行业解决方案；
3、人工智能创新项目的售前技术支持、技术方案编制：
4、人工智能创新领域技术创新
【","】
一、学历要求：本科及以上学历
二、专业要求：电子信息类、计算机类等人工智能方向相关专业
三、其他要求：
1、具有较强的分析解决问题的能力
2、工作踏实积极上进肯吃苦，勇于创新及钻研、工作认真负责且细心",面议
国聘,立福人才服务（上海）有限公司,猎头实习生-人工智能 AI 方向（自招 - 立福人才）,50人以下,"工作內容：

1.	进行职位分析，制定详细的寻访方案，建立和开拓人才搜寻渠道，掌握市场上人才的动向。
2.	通过各大招聘平台和软件协助顾问找到适合客户的人才。
3.	电话沟通、面试、筛选、评估及推荐合适候选人。
4.	为客户做候选人面试安排、结果反馈、背景调查及后续跟踪服务。
5.	协助顾问处理文件及维护人才资料库
6.	对科技/AI/芯片/计算机等行业有所了解","(1)	有强烈的热情，善于沟通 
(2)	有毅力，结果导向型 
(3)	努力踏实，执行力强，抗压能力强
(4)	本科及以上学历
(5)	优先考虑大三和研二学生，可长期实习，有转正机会。",120-150元/天
国聘,煤炭科学研究总院有限公司,露天矿山安全人工智能研发岗,50-100人,"】
（1）开展矿山边坡风险感知、判识、模拟、预测与评估理论与方法研究工作；
（2）开展露天矿山多源数据融合算法开发与优化；
（3）开展露天矿山系统部署与工程落地研究；
（4）开展露天矿山三维建模模型构建研发。

【任职条件】
（1）原则上应具有博士学历，特别优秀者可放宽条件。数学、电子科学与技术、信息与通信工程、计算机科学与技术等相关专业优先；
（2）年龄不超过35周岁；
（3）掌握国内外露天边坡灾害监测预警与防治技术研究现状与趋势；
（4）掌握2种或以上编程语言，至少精通其中1种编程语言；
（5）具有AI项目开发经验，尤其是有矿山相关工业落地项目经验优先。",,面议
国聘,中远海运（广州）有限公司,人工智能研发岗,1000-2000人,"（一）岗位职责
1.负责公司业务数据库设计、开发、数据收集、预处理、清洗、存储和分析的算法和工具，确保数据的准确性和实时性。
2.负责选择合适的数据库和数据仓库技术整合多源数据，建立统一的数据仓库存储和管理数据，设计数据存储优化策略，提高数据访问效率。
3.负责设计机器学习模型方案，进行数据建模，开发分类模型和预测模型，进行模型训练、优化和部署，分析模型性能，进行模型调优，提高模型的准确性和鲁棒性。
4.完成上级交办的其他工作任务。

（二）","1.大学本科及以上学历，人工智能、计算机技术等相关专业。
2.熟悉SQL、Python、JAVA、C++等主流计算机开发语言。
3.了解PostgreSQL、MySQL、oracle、达梦、人大金仓等市面上通用数据库。
4.熟悉机器学习、神经网络和深度学习算法，掌握TensorFlow、PyTorch等深度学习框架，熟悉 Mathlab等数学建模软件。
5.熟悉数据采集、清洗、存储和建模的流程和工具，具备大数据处理和分析能力，熟练使用Hadoop、Spark、Kafka等大数据技术。
6.有较强的学习能力、沟通能力、逻辑思维能力和团队合作精神。
7.具有人工智能、机器学习、数据库优化策略或自然语言处理相关项目或比赛获奖经验的优先。",9600-15000元/月
国聘,中国能源建设集团黑龙江能源建设有限公司,人工智能应用专员,2000-5000人,负责公司人工智能应用与开发工作。,,3000-6000元/月
国聘,中国新型建材设计研究院有限公司,工业人工智能工程师,不公开,负责将工业人工智能技术应用到具体的工业场景中，如智能制造、自动化控制、智能检测等。深入研究机器学习、深度学习等算法，了解其在工业领域的应用前景和潜力。设计并实现适用于工业领域的算法模型，包括模型训练、优化和部署等工作。对集成后的系统进行优化，提高系统的稳定性和性能，确保AI技术能够高效运行。,,面议
国聘,中国联合网络通信有限公司研究院,人工智能研发岗,300-500人,"【岗位职责】
1、AI算法、技术及工程化研究，包括但不限于以下方向：
（1）研究国内外前沿AI算法，包括但不限于负责模型应用相关的数据建设、微调、对齐等模型优化工作。
（2）负责RAG模块的算法设计与调优工作，包括但不限于Rerank算法、Query理解模块等，以实现高召回率和精确度。
（3）负责大模型算法及应用主客观评测方向研究，设计评估体系与评价指标。
（4）负责面向人工智能应用场景的数据挖掘、数据处理、数据应用技术研究。
2、撰写相关技术领域的标准技术提案、专利申请和学术论文。
3、参与人工智能项目申请、方案制定，进行项目关键目标的执行。
【","】
1、学历要求：2026届普通高等院校硕士研究生及以上学历毕业生（海外院校毕业生毕业时间应不超过2年），博士研究生优先。
2、专业范围：人工智能、计算机、电子信息、数据科学、数学等相关专业；
3、基础技能：
   - 具备较好的人工智能、计算机科学和数学等相关的理论基础；
   - 至少熟练掌握一种主流程序设计语言，包括但不限于Python、C/C++、Java；
   - 熟悉PyTorch/TensorFlow等深度学习框架，熟悉Transformers等常用库或框架；
   - 思维敏捷，有较好的综合分析能力、沟通能力、团队协作能力，以及较好的文字写作能力；
 4、专业技能：
   - 具有大语言模型或跨模态大模型实践经验者优先；
   - 熟悉模型训练优化基本原理，熟悉模型训练、微调、RL算法者优先；
   - 具有数据流通、安全、治理相关领域研究或实践者优先；
   - 在相关领域的顶级国际会议/期刊发表过论文者优先；
   - 参与过国家/省部级重点项目或有人工智能项目经验者优先；
   - 在相关领域制定过国际标准者优先；
5、其他：
   - 无不良行为记录，品德好，重诚信，作风正派，责任心强，勤奋踏实，具有较强的团队协作意识；
   - 具有强烈自驱力，对新技术研究具有热情；
   - 有较强的英文听说读写能力。",面议
国聘,中国联合网络通信有限公司研究院,人工智能研发岗,300-500人,"【岗位职责】
1、AI算法、技术及工程化研究，包括但不限于以下方向：
（1）研究国内外前沿AI算法，包括但不限于负责模型应用相关的数据建设、微调、对齐等模型优化工作。
（2）负责RAG模块的算法设计与调优工作，包括但不限于Rerank算法、Query理解模块等，以实现高召回率和精确度。
（3）负责大模型算法及应用主客观评测方向研究，设计评估体系与评价指标。
（4）负责面向人工智能应用场景的数据挖掘、数据处理、数据应用技术研究。
2、撰写相关技术领域的标准技术提案、专利申请和学术论文。
3、参与人工智能项目申请、方案制定，进行项目关键目标的执行。
【","】
1、学历要求：2026届普通高等院校硕士研究生及以上学历毕业生（海外院校毕业生毕业时间应不超过2年）。
2、专业范围：人工智能、计算机、电子信息、数据科学、数学等相关专业；
3、基础技能：
   - 具备较好的人工智能、计算机科学和数学等相关的理论基础；
   - 至少熟练掌握一种主流程序设计语言，包括但不限于Python、C/C++、Java；
   - 熟悉PyTorch/TensorFlow等深度学习框架，熟悉Transformers等常用库或框架；
   - 思维敏捷，有较好的综合分析能力、沟通能力、团队协作能力，以及较好的文字写作能力；
 4、专业技能：
   - 具有大语言模型或跨模态大模型实践经验者优先；
   - 熟悉模型训练优化基本原理，熟悉模型训练、微调、RL算法者优先；
   - 具有数据流通、安全、治理相关领域研究或实践者优先；
   - 在相关领域的顶级国际会议/期刊发表过论文者优先；
   - 参与过国家/省部级重点项目或有人工智能项目经验者优先；
   - 在相关领域制定过国际标准者优先；
5、其他：
   - 无不良行为记录，品德好，重诚信，作风正派，责任心强，勤奋踏实，具有较强的团队协作意识；
   - 具有强烈自驱力，对新技术研究具有热情；
   - 有较强的英文听说读写能力。",面议
国聘,中国联合网络通信有限公司湖北省分公司,人工智能算法工程师,5000-10000人,"【岗位职责】
1、针对公司的业务场景，负责自然语言处理或图像增强、图像分类、目标检测、OCR等视觉算法研发；
2、负责深度学习算法模型优化、训练调优、模型压缩与模型量化，配合开发深度学习应用系统；
3、协助AI领域算法的调研，跟踪业务领域内算法相关技术成果和发展趋势进行分析；
4、参与AI产品的软件架构设计、算法实现及模块开发。
【","】
1、学历要求：硕士研究生及以上学历
2、专业要求：人工智能、计算机、软件工程、网络工程、信息安全、数据库、物联网、通信工程、电子工程等专业
3、专业技能要求
  （1）对有较强的算法分析和实现能力，熟练掌握C/C++/Python等编程语言，了解Tensorflow、Pytorch等深度学习框架
  （2）具有较强创新能力，可根据实际应用场景提出算法优化创新思路
4、其他要求：善于分析和解决问题，具有良好而规范的编程习惯和文档编写习惯，较好的沟通表达能力和团队合作精神",面议
国聘,中国电力工程顾问集团华东电力设计院有限公司,人工智能工程师,1000-2000人,"1.硕士研究生及以上学历,2026年应届毕业生,人工智能、计算机科学等相关专业;
2.遵纪守法、品行优良、吃苦耐劳、身体健康,具有良好的职业素养、沟通协调能力和团队合作能力;
3.成绩优异,所学专业与需求岗位匹配;
4.具有较好的英语阅读能力和口语表达能力,大学英语六级及以上;
5.熟练使用办公应用软件,计算机不低于国家二级水平。",,面议
国聘,中国联合网络通信有限公司上海市分公司,博士后研究人员（人工智能）,2000-5000人,"【岗位职责】
1. 负责人工智能领域前沿技术的跟踪和探索，包括但不限于大模型生成式学习、自监督学习、多模态学习、神经网络架构、AI智能体等方向；
2. 负责人工智能科创相关工作体系建设，跟踪新技术发展，牵头前瞻性研究与成果转化，把握发展趋势，推动公司内部的技术演进和迭代；
3. 参与人工智能模型算法研发及部门科技创新规划，开展课题研究和能力建设，输出科创成果（包含但不限于论文、创新产品、研究报告、专利、软件著作等）；
4. 负责牵头推进人工智能方向学研合作，组织申报国家、集团、地方科技项目等。
【","】
1. 博士学历，计算机/人工智能/电子工程/自动化/数学等相关专业背景；
2. 熟悉大模型、神经网络模型架构、多模态学习、智能体、自然语言处理等人工智能相关领域的研究，对领域内相关技术有深刻理解和洞察，具备相关项目落地经验者优先；
3. 在人工智能/机器学习/计算机视觉/人机交互等领域顶级期刊发表2篇以上第一作者论文；
4. 具有良好的沟通表达和组织协调能力，良好的团队合作意识和较强的逻辑分析以及学习能力。",面议
国聘,煤炭科学技术研究院有限公司,人工智能工程师,1000-2000人,】1.负责人工智能相关产品技术升级与新产品研发工作；2.负责科研项目申报材料、研究报告、科研成果鉴定材料编写。【任职条件】1.计算机及人工智能工程相关专业，硕士研究生及以上学历；2.有较强的数学和统计学基础，熟悉主流的人工智能学习算法；3.有较强的编程能力，熟悉 Python、C++、Java等编程工具。,,面议
国聘,建科公共设施运营管理有限公司,人工智能工程师,100-300人,"1. 负责人工智能模型的设计、选型、训练和优化。
2. 评估并改进模型性能，包括调参、模型验证和测试。
3. 应用深度学习、机器学习等技术解决实际问题。
4. 设计并实施数据采集方案，从多种来源收集数据。
5. 构建和管理大规模数据集，确保数据的完整性和质量。
6. 负责数据的清洗、变换、集成、缩减、编码、分割和特征构建等工作。
7. 处理缺失数据和异常值，确保数据质量。
8. 应用标准化、归一化、特征工程等技术优化数据。
9. 编写清晰、详细的技术文档，记录模型设计、数据处理流程和项目进展。
10. 与团队成员和其他部门有效沟通，确保信息共享和协作。","1. 计算机科学、人工智能、机器学习或相关领域的博士、硕士和优秀本科生。
2. 丰富的人工智能和机器学习模型设计、训练和优化经验。
3. 熟练使用Python及相关的AI/ML库和框架（如TensorFlow、PyTorch、scikit-learn等）。
4. 熟悉数据采集和数据预处理技术，包括SQL、数据清洗、特征工程等。
5. 具备良好的问题解决能力和数据分析能力。
6. 具有优秀的书面和口头沟通能力，能够编写详细的技术文档和课题相关文档。
7. 具有实际项目经验和成果者优先。
8. 熟练使用现有技术框架（DIFY，n8n，Coze等）实现智能体，知识库搭建，并具有知识库内容切分技术者优先。
9. 熟悉自然语言处理（NLP）、计算机视觉（CV）等领域的技术者优先。
10. 具备大数据处理和分析经验者优先。",7000-9000元/月
国聘,北京首都科技发展集团有限公司,博士后研究人员（人工智能在核酸药物开发及应用方向）,100-300人,"（一）岗位职责：
1. 跟踪全球前沿技术动态（如生命科学领域生物医药、人工智能等），完成技术可行性报告与创新资源地图；分析技术产业化路径，为研发方向提供决策支持，提出技术优化方案。
2. 主导或协助实验设计、算法开发，推动核心技术突破；管理研发项目进度与预算，确保成果按时交付。
3. 收集宏观经济、政策法规、竞争对手及用户需求数据，形成市场洞察报告；评估技术应用场景与商业化潜力，为课题立项提供市场依据。
4. 独立撰写科研项目申报书，明确创新性、实用性及技术指标（如可量化的性能参数、研究周期）；协调跨学科团队完成课题申报，管理项目全周期执行与结题。
（二）","1. 已获生命科学、生物医药、人工智能等相关领域博士学位，35岁以下。
2. 具备前沿技术研发经验，发表过高影响力论文或拥有专利。有独立组织、完成项目经验者优先，特别是有实际的相关项目落地经验优先。
3. 精通生命科学领域常用技术，了解人工智能常用技术和工具，熟悉技术产业化流程 ；能独立完成行业研究、数据建模与竞品分析，输出可落地方案；可撰写高质量技术报告、科研课题书（突出创新性、学术贡献度）；具备抗压能力、跨团队协作意识及项目管理经验。
4. 英语流利（需阅读国际文献、参与学术交流）。",20000-25000元/月
国聘,北京首都科技发展集团有限公司,博士后科研人员（人工智能在生物学大数据应用方向）,100-300人,"（一）岗位职责：
1、负责AI技术平台建设，包括统筹算力资源、数据平台等基础设施，完成2-3种大语言模型的本地化部署，支持大规模生物数据处理及模型训练；
2、设计生物数据（基因组、转录组、蛋白质组等数据）的预处理、标注及质量控制标准，确保数据适配AI模型训练；
3、主导机器学习、深度学习模型的构建与优化，针对多组学大数据分析、基因编辑的脱靶检测等内容设计高精度算法，提升分析效率及结果准确性；
4、主导AI项目从需求分析、算法设计到部署上线的全周期管理，把控项目进度与质量，降低技术风险；
5、根据公司业务和人工智能技术发展趋势，制定公司AI战略规划，将相关技术成果转化为产品功能（如自动化数据分析模块），提供技术文档及客户支持。
（二）","1. 已获得博士学位，年龄35岁以下，计算机科学与技术、数据科学、软件工程、电子科学与技术、信息与通信工程等相关专业方向。 
2. 具备生物医药领域研究经验者优先，有独立组织、完成项目经验者优先，特别是有实际的相关项目落地经验、学术论文发表经验以及标准文档/技术专利撰写经验者优先。
3. 具备跨学科研究能力，能系统性分析生物学大数据，完成多组学数据分析模型构建等工作，对该领域有独特见解和洞察能力者优先。 
4. 具备良好的英文读写能力和沟通表达能力。",20000-25000元/月
国聘,东方电子股份有限公司,人工智能研发工程师,5000-10000人,"1）负责大模型/NLP/导航算法/路径规划/图像算法等方向的技术研发
2）设计并优化算法模型，解决实际场景中的技术问题
3）跟踪前沿技术动态，探索技术在业务场景中的落地可行性
4）跨团队协作，推进算法从研发到产品化的全流程落地","下列至少一项背景或经验，有多项匹配者优先：
1）计算机、人工智能、自动化等相关专业，硕士及以上学历
2）精通 Python/C  ，熟悉 TensorFlow/PyTorch 等框架，至少深耕 1 个技术方向（大模型 / NLP / 导航 / 图像等）
3）具备算法应用与工程实现能力
4）良好的问题解决能力、团队协作能力及技术落地意识",面议
国聘,中信数字科技集团有限公司,实习生（人工智能/大数据专业）,500-1000人,"1、负责人工智能算法在各领域的测试与应用；
2、负责人工智能基础算法的研究和应用；
3、负责配合项目负责人开展人工智能项目的预研与实施。","1、本科及以上学历，大数据、AI人工智能开发相关专业优先；
2、熟悉C/C++编程、熟悉Linux环境，掌握Python语言;
3、熟悉深度学习、机器学习等算法，有实际开发经验者优先;
4、具备良好的沟通能力、协调能力与团队合作能力。",面议
国聘,太极计算机股份有限公司,人工智能（算法工程师）-2026届校招岗位,2000-5000人,"1.设计、开发和维护相关垂直行业的大模型，开发智能体，以解决复杂问题和提高决策质量；

2.与团队合作，参与AI技术的研究和应用，包括但不限于机器学习、深度学习、自然语言处理等；

3.优化现有算法以提高性能，并探索新的算法以提升AI系统的能力；

4.参与部门人工智能相关项目，确保算法的有效实施和应用。","1.仅限人工智能等相关专业硕士研究生；

2.具备扎实的人工智能算法开发能力，能够独立解决技术难题；

3.熟悉主流的AI开发语言和框架，如Python、TensorFlow、PyTorch、RAG技术等；

4.具有良好的分析和问题解决能力，能够独立进行算法设计和优化；

5.优秀的团队合作精神和沟通能力，能够在多元化团队中发挥作用；

6.对人工智能技术有浓厚兴趣，愿意不断学习和探索新知识；

7.熟悉并使用过国内外主流人工智能芯片和计算集群者优先。",面议
国聘,北京通州产业服务有限公司,人工智能产业服务部-副部长,50人以下,"1.协助领导开展管理工作，重点负责部门内部业务流程协调、跨板块项目支持、日常运营保障及部分重点客户、项目的推进，确保部门高效运转；
2.负责开展人工智能、数字经济、信息技术等产业项目引入和促进工作；
3.负责部门年度目标的制定与相关工作的推进、落实；
4.负责人工智能相关项目的策划、申报、组织实施和监督评估，包括科研项目、示范工程、场景谋划落地、产业扶持项目等；
5.能够通过数字化平台、政策框架及跨链协同等机制深度融合产业研究，推动产业发展，共同驱动产业场景的生态链接；
6.完成领导交办的其他工作。","1.原则上年龄不超过45周岁，人工智能类、计算机类、经济类、管理类等相关专业背景者优先；
2.具有5年以上相关行业经验，具有团队管理或项目管理经验者优先；
3.具有产业促进、招商引资、企业服务或人工智能领域相关经验者优先；
4.能够适应高频次出差和高强度工作。",面议
国聘,北京通州产业服务有限公司,人工智能产业服务部-业务经理岗,50人以下,"1.围绕人工智能、数字经济、信息科技、互联网软件、网络安全、通信等领域开展招商引资相关工作；
2.承担招商指标，主动挖掘并筛选高成长性企业，持续跟进洽谈进程，完成客户拓展，承担项目实施过程中的具体工作，及时响应客户咨询；
3.定期走访已落地企业，收集服务需求并制定解决方案，跟踪服务效果，撰写有说服力的项目评估与引入方案；
4.收集、整理行业领域前沿动态、政策及企业信息，为上级决策提供信息支持，及时完成业务指标；
5.完成领导交办的其他工作。","1.原则上年龄不超过38周岁；
2.计算机科学与技术、软件工程、人工智能、数据科学与大数据技术、网络空间安全、电子信息工程、通信工程、经济管理、金融学等相关专业背景者优先，中共党员优先；
3.具有3年以上产业促进、企业服务、招商落地或规划研究相关的工作经验；
4.熟悉人工智能相关产业政策、战略规划、扶持措施与监管法规；
5.具有较强的公文写作能力；
6.具有出色的沟通表达、客户关系维护能力；
7.能接受出差，具有较强抗压能力。",面议
